event_number,run,event_length,TR_onset,TR_offset,transcript
11,2,41,525,566,"During Carmen's first few days in the clinic, most of the patients she saw had fairly minor problems: cuts and scrapes, toothaches, indigestion. Carmen had a feeling that many of the people came less out of health concerns and more out of curiosity, to see the foreign woman who spoke broken Spanish and wore funny clothes, but she didn't mind—she found them just as interesting as they found her. Most of them spoke a mix of Spanish and another language native to the region. When Juan was around, he could translate, but mostly Carmen and her patients got by with hand gestures and facial expressions. The villagers appreciated her help, and Carmen found it very fulfilling to care for them."
12,2,50,567,617,"Though she had been shy in the beginning, Alba proved a wonderful companion. Each morning, she would bring Carmen a potent mix of leaves in hot water, and a breakfast of mashed plantains and fried pork. In the evenings, after Carmen left the clinic, Alba would often come by her hut. She was supposed to clean for Carmen, but the two usually ended up playing games or telling stories instead. Alba was patient with Carmen's slow Spanish, and Carmen's language skills improved. In turn, Carmen began to teach Alba English. The girl picked up words amazingly fast, and soon she could name most everything she saw: bed, table, hut; man, woman, child; river, tree, fire. Doctor, sick, cure."
13,2,65,619,684,"After Carmen had been in the village for about a week, a patient came to the clinic with a bad fever. The patient was an older woman named Maria whom Carmen didn't recognize; according to Alba, Maria had come from another village down the river. Carmen gave her medication and had her drink plenty of water, but Maria's fever just got worse. She also had a strange rash across her chest and back, like nothing Carmen had ever seen. Carmen told Maria she should stay in the clinic overnight until she felt better. - That evening, Juan came to the clinic with another man. The two men stood in the doorway, not wanting to come any closer, as if they were afraid Maria might be contagious. When Carmen noticed they were there, she rushed over to Juan. She wanted to know if anyone in the village had had a fever like this before. Had Dr. Torreson treated any patients with this fever? ""No,"" Juan said. ""I have never seen anything like this."" But the other man had a strange expression on his face. Carmen watched them leave, puzzled."
14,2,33,686,719,"The following morning, Carmen gave Maria more medication, but nothing seemed to help. When Carmen came back from her afternoon break, she found that Maria had disappeared. Concerned, she called for Alba. ""Maria? She was taken away,"" Alba said in cryptic Spanish. If Alba knew any more than that, she wouldn't say. Carmen was baffled, and a little unsettled, but she had no choice but to accept it. Though she was growing more comfortable in her new home, certain aspects of the culture were still quite mysterious to her."
15,2,36,721,757,"The second week Carmen was there, there was a festival in the village. The men made a huge bonfire, and the women cooked a delicious feast. Some of the villagers played traditional music, and everyone danced late into the night. Carmen thoroughly enjoyed herself.  At one point, Juan came to sit beside her. ""You know, everyone here is so grateful that you came such a long way to care for us,"" he said, a look of genuine appreciation in his eyes. ""I don't know what we'd do without you here."" Carmen smiled back, feeling pleased that she had taken a chance on this adventure. "
16,2,81,758,839,"Overall, Carmen was happy in the Amazon, but she still felt homesick from time to time. One morning, she discovered that if she hiked to the top of a small hill behind her hut, her cell phone picked up a weak signal. She called Linda, a close friend at home. To Carmen's delight, Linda picked up, and the two women talked for a long time. Carmen told Linda all about the Amazon, even mentioning the patient with the strange fever. After they hung up, Carmen headed back down the hill, comforted by the conversation. As she was settling in for an afternoon siesta, there was a knock on the door of her hut. ""Come in!"" she called, surprised.  The door swung open and Juan burst inside. ""Dr. Carmen, I am sorry to bother you like this, but there is an emergency,"" he said. ""Some of my men have seen loggers working in a part of the rainforest that is strictly off-limits. We must contact the authorities to stop them right away, but our satellite phone is not working. I need to take your cell phone.""  ""Of course,"" she said, flustered, handing over her cell phone and its solar-powered charger. ""Thank you. We may need to keep it for a few days, so that we can monitor these criminals and continue to report where they are,"" Juan said. ""Take your time,"" Carmen started to say, but Juan was already gone."
17,2,48,841,889,"The next day, a second patient with the strange fever came to see Carmen in the clinic. This time it was a young man that she recognized from the village. Along with the rash, this patient had a nasty, hacking cough. He slept on one of the beds in the clinic, groaning and thrashing in what seemed to be nightmares. Carmen stayed with him late into the evening, then went to her hut for a couple hours' rest. At dawn, she returned to the clinic to find that he hadn't made it through the night. Traumatized and brokenhearted, Carmen ran to find his family. Four of the men from the village carried his body away. Even though she knew that it was not her fault, that she had done the best she could, Carmen felt horribly guilty over the young man's death. "
18,2,82,891,973,"Just a few days later, Carmen saw her third patient with the strange fever. She recognized the man as Ramiro, a village leader and one of Juan's close friends. Luckily, Ramiro didn't seem to be as far along in the illness as the other patients she'd seen. His forehead was warm, but he didn't yet have the rash or the hacking cough. Carmen began treating him with medication, lots of water, and some medicinal plants that Alba had brought her. Carmen tended to Ramiro round the clock for two days. Finally, his fever went down. On the day Ramiro was released from the clinic, his entire family came to show their gratitude, showering Carmen with gifts. She was embarrassed at the attention, but also thrilled and proud to have cured the man. These were the moments that reminded her why she had become a doctor in the first place. When Juan himself came to personally thank her for curing his friend, Carmen thought she noticed tears in his eyes. ""Here, we would like you to have this,"" Juan said, handing her a small package wrapped in leaves and twine. Carmen opened it carefully. Inside was a delicate handmade necklace. It was beautiful, and Carmen was touched. She felt she had truly become part of her new community. "
19,3,27,974,1001,"Another week went by. Carmen noticed a change in the weather: The sky was overcast, and the air was even more humid now. According to Alba, it was the start of the rainy season. But Carmen didn't mind. She was enjoying the time spent with Alba more and more. She had even begun teaching the girl to read. Carmen thought that if she ever had a daughter, she'd like her to be like Alba."
20,3,52,1002,1054,"Carmen felt frustrated that she was unable to do more for the victims of this fever. So far one of her patients had recovered, but one had died, and it was impossible to know what had happened to Maria. She racked her brain for medicines that might help, and wrote out a list to give to Juan. He still had not returned her cell phone, but Carmen didn't want to pressure him. The following morning on her walk to the clinic, Carmen spotted Juan in the center of the village, conversing with his group of leaders. As she walked over to them, the men suddenly stopped talking, giving Carmen the feeling that she had interrupted something important. When Carmen gave Juan her list of medicines, he told her he'd put in the order right away. But then Carmen remembered that replacement shipment Juan promised had never arrived. "
21,3,62,1055,1117,"That night in her hut, Carmen continued to turn things over in her mind. What if this was an unknown disease? It didn't seem like any of the tropical fevers she was familiar with. At times, Carmen felt like there was something the villagers weren't telling her. Did they know more about the disease than they were letting on? Did they think that having a foreigner come and see what was happening—or maybe even get sick herself—was the only way to get medical help? But Carmen quickly put the idea out of her head, ashamed at herself for being so distrustful. Juan and the villagers had been so welcoming. There was no reason to think that they had known about the fever before she came, and besides, Dr. Torreson hadn't mentioned anything about it in his email. Lost in her thoughts, Carmen suddenly realized that Alba hadn't come by that evening. Carmen reasoned that the girl was probably helping her family prepare for the rainy season, although she missed her company"
22,3,42,1119,1161,"Alba didn't come the next morning at breakfast, either. Carmen spent the day in the clinic and returned home in the evening to wait for the girl. Hours passed with no sign of Alba. Worried and lonely, Carmen decided to go check on her. Carmen had never been inside Alba's family's hut, though she knew which one it was. Carmen crossed the clearing carefully, avoiding the slippery patches of mud left by the rain. She knocked once, twice, three times; no answer. Not wanting to invade the family's privacy, she almost walked away. But concern and curiosity got the better of her, and she pushed open the door. "
23,3,58,1162,1220,"Carmen was horrified by what she saw inside. Alba lay on the ground, coughing and flailing. A woman and a man were bent over her, trying to get her to drink. Alba's shirt was off, and by the light of the fire, Carmen could see the telltale rash across her chest. Carmen gasped, and the man looked up at her. She was shocked to see that it was Juan, and his eyes were filled with tears. ""Alba… Alba is your daughter?"" Carmen said in shock. How could she not have known? Juan nodded, a desperate look in his eyes. ""I'll be right back,"" she said, intending to sprint to the clinic to retrieve the last of her anti-fever medication. As she turned to leave, she saw her cell phone sitting on a table near the door, and grabbed it on instinct. She looked behind her but Juan had already turned his attention back to Alba."
24,3,81,1221,1302,"Carmen didn't go straight to the clinic. On a whim, she took a lantern and set off down the path that led to the river. Arriving at the shore out of breath, she sat on a rock and stared out at the muddy water. Carmen wildly hoped that a boat would pass by, but none did.  It dawned on her just how isolated she was. How long had Alba been sick? Why hadn't she told Carmen? With a jolt, Carmen thought about Alba's hands preparing her breakfast, folding her clothes, making the bed. Was the fever contagious? What if Carmen already been infected? Carmen turned the cell phone over in her hands, trying not to panic. She was completely torn. Part of her felt anxious and scared, and wanted to leave right away. But another part of her felt wracked with guilt to think about leaving the villagers, especially Alba, in this predicament. Carmen pictured Alba's wide, trusting eyes; if she left now, the decision would haunt her for a long time. On the other hand, she wasn't even sure if the disease could be treated, and she could be risking her life if she stayed. What was she going to do?"
